TYPE;SOUSTYPE;ADRESSE;CODE_POSTAL;VILLE;ARRONDISSEMENT;DATEDECL;ANNEE DECLARATION;MOIS DECLARATION;NUMERO;PREFIXE;INTERVENANT;CONSEIL DE QUARTIER;OBJECTID;geo_shape;geo_point_2d
Objets abandonnés;Planches et palettes;2 rue camille pissarro, 75017 PARIS;75017;Paris 17;17.0;2012-07-25T04:00:00+02:00;2012;7;217.0;S;Ramen en tant que prestataire de DansMaRue;CHAMPERRET - BERTHIER;180239;"{""type"": ""Point"", ""coordinates"": [2.301654296750654, 48.890101601985755]}";48.890101602, 2.30165429675
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;62 rue des dames ,75017 PARIS;75017;Paris 17;17.0;2012-07-26T04:00:00+02:00;2012;7;239.0;S;DPE;BATIGNOLLES - CARDINET;180242;"{""type"": ""Point"", ""coordinates"": [2.321430005453442, 48.88379999943486]}";48.8837999994, 2.32143000545
Objets abandonnés;Planches et palettes;44 boulevard de l'hôpital ,75013 PARIS;75013;Paris 13;5.0;2012-08-23T04:00:00+02:00;2012;8;393.0;S;Ramen en tant que prestataire de DansMaRue;JARDIN DES PLANTES;180256;"{""type"": ""Point"", ""coordinates"": [2.363122995689233, 48.84215000289855]}";48.8421500029, 2.36312299569
Propreté;Malpropreté du sol:Autre;85-87 avenue ledru-rollin ,75012 PARIS;75012;Paris 12;12.0;2012-09-14T04:00:00+02:00;2012;9;293.0;S;DPE;ALIGRE - GARE DE LYON;180272;"{""type"": ""Point"", ""coordinates"": [2.375645994205335, 48.85095599729232]}";48.8509559973, 2.37564599421
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;17 rue de la villette ,75019 PARIS;75019;Paris 19;19.0;2012-09-23T04:00:00+02:00;2012;9;573.0;S;DVD;BUTTES CHAUMONT;180275;"{""type"": ""Point"", ""coordinates"": [2.387429001834385, 48.87504600164951]}";48.8750460016, 2.38742900183
Propreté;Malpropreté du sol:Déchets divers épars;305 rue lecourbe ,75015 PARIS;75015;Paris 15;15.0;2012-09-28T04:00:00+02:00;2012;9;728.0;S;DPE;VAUGIRARD - PARC DES EXPOSITIONS;180276;"{""type"": ""Point"", ""coordinates"": [2.286397994705513, 48.8377500033391]}";48.8377500033, 2.28639799471
Objets abandonnés;Planches et palettes;rue victor segalen ,75020 PARIS;75020;Paris 20;20.0;2012-10-26T04:00:00+02:00;2012;10;663.0;S;Ramen en tant que prestataire de DansMaRue;SAINT-BLAISE;180292;"{""type"": ""Point"", ""coordinates"": [2.406248001127075, 48.86036000025763]}";48.8603600003, 2.40624800113
Objets abandonnés;Meubles et éléments de décoration;Rue Saint-Ferdinand, 75017 PARIS;75017;Paris 17;17.0;2012-10-26T04:00:00+02:00;2012;10;717.0;S;Ramen en tant que prestataire de DansMaRue;TERNES - MAILLOT;180294;"{""type"": ""Point"", ""coordinates"": [2.287425830149306, 48.877643630793614]}";48.8776436308, 2.28742583015
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;4 rue albert marquet ,75020 PARIS;75020;Paris 20;20.0;2012-10-26T04:00:00+02:00;2012;10;673.0;S;DVD;SAINT-BLAISE;180296;"{""type"": ""Point"", ""coordinates"": [2.405238998678259, 48.85762799749181]}";48.8576279975, 2.40523899868
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;35 rue davioud ,75016 PARIS;75016;Paris 16;16.0;2012-10-24T04:00:00+02:00;2012;10;497.0;S;graffitis;MUETTE SUD;180298;"{""type"": ""Point"", ""coordinates"": [2.270915000624452, 48.85494999628893]}";48.8549499963, 2.27091500062
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;39 rue de l'ouest ,75014 PARIS;75014;Paris 14;14.0;2012-10-31T02:00:00+01:00;2012;10;1114.0;S;graffitis;PERNETY;180303;"{""type"": ""Point"", ""coordinates"": [2.320145994215716, 48.83646999846323]}";48.8364699985, 2.32014599422
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;Rue de Saint-Senoch, 75017 PARIS;75017;Paris 17;17.0;2012-10-31T02:00:00+01:00;2012;10;1349.0;S;Ramen en tant que prestataire de DansMaRue;COURCELLES - WAGRAM;180305;"{""type"": ""Point"", ""coordinates"": [2.293147765889518, 48.88153421243635]}";48.8815342124, 2.29314776589
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;15 rue girardon ,75018 PARIS;75018;Paris 18;18.0;2012-11-06T02:00:00+01:00;2012;11;267.0;S;graffitis;MONTMARTRE;180310;"{""type"": ""Point"", ""coordinates"": [2.338020996305479, 48.88900399758943]}";48.8890039976, 2.33802099631
Propreté;Malpropreté du sol:Autre;93 avenue denfert-rochereau ,75014 PARIS;75014;Paris 14;14.0;2012-11-01T02:00:00+01:00;2012;11;51.0;S;DPE;RASPAIL - MONTPARNASSE;180313;"{""type"": ""Point"", ""coordinates"": [2.333218996435606, 48.834959995595504]}";48.8349599956, 2.33321899644
Graffitis, tags, affiches et autocollants;Affiches ou autocollants sur immeuble, mur ou commerce;27 boulevard de ménilmontant ,75011 PARIS;75011;Paris 11;11.0;2012-11-06T02:00:00+01:00;2012;11;396.0;S;DPE;LEON BLUM - FOLIE-REGNAULT;180316;"{""type"": ""Point"", ""coordinates"": [2.388589006132857, 48.85996199480135]}";48.8599619948, 2.38858900613
Propreté;Malpropreté du sol:Déchets divers épars;44 rue d'orsel ,75018 PARIS;75018;Paris 18;18.0;2012-11-07T02:00:00+01:00;2012;11;534.0;S;DPE;MONTMARTRE;180318;"{""type"": ""Point"", ""coordinates"": [2.342917001553808, 48.88362499742381]}";48.8836249974, 2.34291700155
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;97-111 boulevard de port-royal ,75013 PARIS;75013;Paris 13;14.0;2012-11-06T02:00:00+01:00;2012;11;381.0;S;DPE;RASPAIL - MONTPARNASSE;180324;"{""type"": ""Point"", ""coordinates"": [2.340362994102689, 48.838559999618134]}";48.8385599996, 2.3403629941
Propreté;Malpropreté du sol:Autre;19 rue poirier de narçay ,75014 PARIS;75014;Paris 14;14.0;2012-11-08T02:00:00+01:00;2012;11;862.0;S;DPE;JEAN MOULIN - PORTE D'ORLEANS;180327;"{""type"": ""Point"", ""coordinates"": [2.324620003016152, 48.82416500303684]}";48.824165003, 2.32462000302
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;4 avenue de la république ,75011 PARIS;75011;Paris 11;11.0;2012-11-09T02:00:00+01:00;2012;11;1318.0;S;graffitis;REPUBLIQUE - SAINT-AMBROISE;180338;"{""type"": ""Point"", ""coordinates"": [2.365977005239389, 48.86665700004061]}";48.866657, 2.36597700524
Objets abandonnés;Meubles et éléments de décoration;20 rue de la charbonnière ,75018 PARIS;75018;Paris 18;18.0;2012-11-12T02:00:00+01:00;2012;11;1439.0;S;Ramen en tant que prestataire de DansMaRue;GOUTTE D'OR - CHATEAU ROUGE;180339;"{""type"": ""Point"", ""coordinates"": [2.353706002636454, 48.88447999790379]}";48.8844799979, 2.35370600264
Propreté;Malpropreté du sol:Déchets divers épars;92 rue de crimée ,75019 PARIS;75019;Paris 19;19.0;2012-11-14T02:00:00+01:00;2012;11;1970.0;S;DPE;MANIN - JAURES;180355;"{""type"": ""Point"", ""coordinates"": [2.383855996703244, 48.884552003518955]}";48.8845520035, 2.3838559967
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;2 impasse saint-eustache ,75001 PARIS;75001;Paris 1;1.0;2012-10-31T02:00:00+01:00;2012;10;1176.0;S;graffitis;LES HALLES;180364;"{""type"": ""Point"", ""coordinates"": [2.345641002596945, 48.86409799945089]}";48.8640979995, 2.3456410026
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;119 avenue simon bolivar ,75019 PARIS;75019;Paris 19;19.0;2012-11-15T02:00:00+01:00;2012;11;2196.0;S;graffitis;SECRETAN;180367;"{""type"": ""Point"", ""coordinates"": [2.374362005218829, 48.88009299464014]}";48.8800929946, 2.37436200522
Objets abandonnés;Objets entrant dans plusieurs catégories;5 rue du général renault ,75011 PARIS;75011;Paris 11;11.0;2012-11-15T02:00:00+01:00;2012;11;2370.0;S;Ramen en tant que prestataire de DansMaRue;LEON BLUM - FOLIE-REGNAULT;180370;"{""type"": ""Point"", ""coordinates"": [2.378178000250915, 48.861330000113526]}";48.8613300001, 2.37817800025
Objets abandonnés;Planches et palettes;82 rue de la folie-regnault ,75011 PARIS;75011;Paris 11;11.0;2012-11-15T02:00:00+01:00;2012;11;2343.0;S;Ramen en tant que prestataire de DansMaRue;LEON BLUM - FOLIE-REGNAULT;180372;"{""type"": ""Point"", ""coordinates"": [2.385584000831242, 48.86201999804748]}";48.862019998, 2.38558400083
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;62 rue curial ,75019 PARIS;75019;Paris 19;19.0;2012-11-20T02:00:00+01:00;2012;11;3021.0;S;DVD;FLANDRE - AUBERVILLIERS;180382;"{""type"": ""Point"", ""coordinates"": [2.372702993218733, 48.89255000220049]}";48.8925500022, 2.37270299322
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;1 rue beauregard ,75002 PARIS;75002;Paris 2;2.0;2012-11-20T02:00:00+01:00;2012;11;2882.0;S;DPE;SENTIER - BONNE NOUVELLE;180385;"{""type"": ""Point"", ""coordinates"": [2.348129002967472, 48.86919800233826]}";48.8691980023, 2.34812900297
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Trappes ou grilles au sol:Autre trappe ou grille au sol;Boulevard du Montparnasse, 75007 PARIS;75006;Paris 6;6.0;2012-11-21T02:00:00+01:00;2012;11;3094.0;S;DVD;SAINT-PLACIDE;180387;"{""type"": ""Point"", ""coordinates"": [2.317203611620962, 48.84672387068621]}";48.8467238707, 2.31720361162
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;26 rue des montiboeufs ,75020 PARIS;75020;Paris 20;20.0;2012-11-21T02:00:00+01:00;2012;11;3206.0;S;DPE;GAMBETTA;180388;"{""type"": ""Point"", ""coordinates"": [2.404652994988007, 48.86701199978101]}";48.8670119998, 2.40465299499
Graffitis, tags, affiches et autocollants;Affiches ou autocollants sur immeuble, mur ou commerce;98-102 rue saint-maur ,75011 PARIS;75011;Paris 11;11.0;2012-11-21T02:00:00+01:00;2012;11;3276.0;S;DPE;BELLEVILLE - SAINT-MAUR;180391;"{""type"": ""Point"", ""coordinates"": [2.377209999812656, 48.86588999654913]}";48.8658899965, 2.37720999981
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;67 rue mirabeau ,75016 PARIS;75016;Paris 16;16.0;2012-11-23T02:00:00+01:00;2012;11;3671.0;S;DPE;AUTEUIL NORD;180398;"{""type"": ""Point"", ""coordinates"": [2.272915998964244, 48.847400000522114]}";48.8474000005, 2.27291599896
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;1 villa championnet ,75018 PARIS;75018;Paris 18;18.0;2012-11-23T02:00:00+01:00;2012;11;3708.0;S;Ramen en tant que prestataire de DansMaRue;GRANDES CARRIERES - CLICHY;180399;"{""type"": ""Point"", ""coordinates"": [2.331652997548599, 48.89402399667855]}";48.8940239967, 2.33165299755
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Trappes ou grilles au sol:Avaloir, bouche ou grille d'égout;4 impasse daunay ,75011 PARIS;75011;Paris 11;11.0;2012-11-15T02:00:00+01:00;2012;11;2353.0;S;DPE;LEON BLUM - FOLIE-REGNAULT;180402;"{""type"": ""Point"", ""coordinates"": [2.386886002236466, 48.860159996305605]}";48.8601599963, 2.38688600224
Objets abandonnés;Objets entrant dans plusieurs catégories;5 place pigalle ,75009 PARIS;75009;Paris 9;9.0;2012-11-23T02:00:00+01:00;2012;11;3808.0;S;Ramen en tant que prestataire de DansMaRue;LORETTE - MARTYRS;180404;"{""type"": ""Point"", ""coordinates"": [2.337405000150623, 48.88199200234205]}";48.8819920023, 2.33740500015
Propreté;Malpropreté du sol:Déchets divers épars;177 rue vercingétorix ,75014 PARIS;75014;Paris 14;14.0;2012-11-24T02:00:00+01:00;2012;11;3861.0;S;DPE;DIDOT - PORTE DE VANVES;180405;"{""type"": ""Point"", ""coordinates"": [2.309892994342603, 48.83192399485339]}";48.8319239949, 2.30989299434
Objets abandonnés;Autre objet (hors catégories précédentes);1 quai saint-bernard ,75005 PARIS;75005;Paris 5;5.0;2012-11-25T02:00:00+01:00;2012;11;3998.0;S;Ramen en tant que prestataire de DansMaRue;JARDIN DES PLANTES;180408;"{""type"": ""Point"", ""coordinates"": [2.3639129952938083, 48.844887003405]}";48.8448870034, 2.36391299529
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;2 rue de sèvres ,75006 PARIS;75006;Paris 6;6.0;2012-11-27T02:00:00+01:00;2012;11;4399.0;S;DEVE-SAB;RENNES;180422;"{""type"": ""Point"", ""coordinates"": [2.329465997932963, 48.85197400250156]}";48.8519740025, 2.32946599793
Propreté;Malpropreté du sol:Déchets divers épars;99 rue de clignancourt ,75018 PARIS;75018;Paris 18;18.0;2012-11-27T02:00:00+01:00;2012;11;4493.0;S;DPE;GOUTTE D'OR - CHATEAU ROUGE;180426;"{""type"": ""Point"", ""coordinates"": [2.348661996455659, 48.89100299614972]}";48.8910029961, 2.34866199646
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;5 rue maurice berteaux ,75020 PARIS;75020;Paris 20;20.0;2012-11-22T02:00:00+01:00;2012;11;3524.0;S;DPE;GAMBETTA;180427;"{""type"": ""Point"", ""coordinates"": [2.410153995307394, 48.86797999697073]}";48.867979997, 2.41015399531
Objets abandonnés;Meubles et éléments de décoration;14 passage de la bonne graine ,75011 PARIS;75011;Paris 11;11.0;2012-11-26T02:00:00+01:00;2012;11;4328.0;S;Ramen en tant que prestataire de DansMaRue;BASTILLE - POPINCOURT;180428;"{""type"": ""Point"", ""coordinates"": [2.377197005940891, 48.85203999476951]}";48.8520399948, 2.37719700594
Objets abandonnés;Planches et palettes;3 avenue de taillebourg ,75011 PARIS;75011;Paris 11;11.0;2012-11-28T02:00:00+01:00;2012;11;4835.0;S;Ramen en tant que prestataire de DansMaRue;NATION - ALEXANDRE DUMAS;180431;"{""type"": ""Point"", ""coordinates"": [2.397222000456633, 48.84956699763839]}";48.8495669976, 2.39722200046
Objets abandonnés;Planches et palettes;4 rue des 3 portes ,75005 PARIS;75005;Paris 5;5.0;2012-11-27T02:00:00+01:00;2012;11;4405.0;S;Ramen en tant que prestataire de DansMaRue;SORBONNE;180441;"{""type"": ""Point"", ""coordinates"": [2.348910000673395, 48.85090299897333]}";48.850902999, 2.34891000067
Objets abandonnés;Planches et palettes;36 avenue parmentier ,75011 PARIS;75011;Paris 11;11.0;2012-11-30T02:00:00+01:00;2012;11;5504.0;S;Ramen en tant que prestataire de DansMaRue;LEON BLUM - FOLIE-REGNAULT;180442;"{""type"": ""Point"", ""coordinates"": [2.378219004457715, 48.86087400235696]}";48.8608740024, 2.37821900446
Objets abandonnés;Équipements électriques et électroniques;26 rue oberkampf ,75011 PARIS;75011;Paris 11;11.0;2012-12-03T02:00:00+01:00;2012;12;160.0;S;Ramen en tant que prestataire de DansMaRue;REPUBLIQUE - SAINT-AMBROISE;180444;"{""type"": ""Point"", ""coordinates"": [2.36969699828953, 48.86343999503052]}";48.863439995, 2.36969699829
Objets abandonnés;Planches et palettes;2 rue nicolas appert ,75011 PARIS;75011;Paris 11;11.0;2012-12-03T02:00:00+01:00;2012;12;193.0;S;Ramen en tant que prestataire de DansMaRue;REPUBLIQUE - SAINT-AMBROISE;180446;"{""type"": ""Point"", ""coordinates"": [2.370556999171609, 48.85856600140321]}";48.8585660014, 2.37055699917
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;12 rue michel chasles ,75012 PARIS;75012;Paris 12;12.0;2012-12-04T02:00:00+01:00;2012;12;318.0;S;graffitis;ALIGRE - GARE DE LYON;180448;"{""type"": ""Point"", ""coordinates"": [2.374079005250402, 48.84724000233307]}";48.8472400023, 2.37407900525
Objets abandonnés;Planches et palettes;39 rue des vinaigriers ,75010 PARIS;75010;Paris 10;10.0;2012-12-04T02:00:00+01:00;2012;12;443.0;S;Ramen en tant que prestataire de DansMaRue;CHATEAU D'EAU - LANCRY;180449;"{""type"": ""Point"", ""coordinates"": [2.360490000090852, 48.873109995697575]}";48.8731099957, 2.36049000009
Propreté;Malpropreté du sol:Déchets divers épars;102 boulevard des batignolles, 75017 PARIS;75017;Paris 17;17.0;2012-07-26T04:00:00+02:00;2012;7;265.0;S;DPE;LEGENDRE - LEVIS;180243;"{""type"": ""Point"", ""coordinates"": [2.317033099769854, 48.88152920135018]}";48.8815292014, 2.31703309977
Objets abandonnés;Objets entrant dans plusieurs catégories;100 rue léon-maurice nordmann ,75013 PARIS;75013;Paris 13;13.0;2012-08-02T04:00:00+02:00;2012;8;41.0;S;Ramen en tant que prestataire de DansMaRue;CROULEBARBE;180246;"{""type"": ""Point"", ""coordinates"": [2.34592200626959, 48.83474300305234]}";48.8347430031, 2.34592200627
Objets abandonnés;Meubles et éléments de décoration;33 boulevard arago ,75013 PARIS;75013;Paris 13;13.0;2012-08-02T04:00:00+02:00;2012;8;40.0;S;Ramen en tant que prestataire de DansMaRue;CROULEBARBE;180248;"{""type"": ""Point"", ""coordinates"": [2.347943003959262, 48.835369997517574]}";48.8353699975, 2.34794300396
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;18 rue ernest et henri rousselle, 75013 PARIS;75013;Paris 13;13.0;2012-08-02T04:00:00+02:00;2012;8;52.0;S;Ramen en tant que prestataire de DansMaRue;PEUPLIERS - BRILLAT - RUNGIS;180249;"{""type"": ""Point"", ""coordinates"": [2.354115293305639, 48.825423702852966]}";48.8254237029, 2.35411529331
Objets abandonnés;Meubles et éléments de décoration;2-8 avenue de la soeur rosalie, 75013 PARIS;75013;Paris 13;13.0;2012-08-03T04:00:00+02:00;2012;8;72.0;S;Ramen en tant que prestataire de DansMaRue;CROULEBARBE;180250;"{""type"": ""Point"", ""coordinates"": [2.354107700378723, 48.831844100594594]}";48.8318441006, 2.35410770038
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Autres mobiliers:Abris bus;19 rue esquirol ,75013 PARIS;75013;Paris 13;13.0;2012-08-10T04:00:00+02:00;2012;8;191.0;S;JCDecaux - Mobiliers urbains;SALPETRIERE - AUSTERLITZ;180255;"{""type"": ""Point"", ""coordinates"": [2.360773997174002, 48.834609995207195]}";48.8346099952, 2.36077399717
Objets abandonnés;Planches et palettes;137 boulevard de l'hôpital ,75013 PARIS;75013;Paris 13;13.0;2012-08-24T04:00:00+02:00;2012;8;417.0;S;Ramen en tant que prestataire de DansMaRue;SALPETRIERE - AUSTERLITZ;180261;"{""type"": ""Point"", ""coordinates"": [2.358263003643818, 48.83520499886669]}";48.8352049989, 2.35826300364
Objets abandonnés;Planches et palettes;26 rue de la reine blanche ,75013 PARIS;75013;Paris 13;13.0;2012-09-10T04:00:00+02:00;2012;9;182.0;S;Ramen en tant que prestataire de DansMaRue;SALPETRIERE - AUSTERLITZ;180266;"{""type"": ""Point"", ""coordinates"": [2.353420000836009, 48.83628499562116]}";48.8362849956, 2.35342000084
Objets abandonnés;Objets entrant dans plusieurs catégories;12-16 rue camulogene ,75015 PARIS;75015;Paris 15;15.0;2012-09-25T04:00:00+02:00;2012;9;602.0;S;Ramen en tant que prestataire de DansMaRue;GEORGES BRASSENS;180273;"{""type"": ""Point"", ""coordinates"": [2.302629994271514, 48.829184994786594]}";48.8291849948, 2.30262999427
Objets abandonnés;Planches et palettes;7 avenue emile et armand massard, 75017 PARIS;75017;Paris 17;17.0;2012-10-02T04:00:00+02:00;2012;10;46.0;S;Ramen en tant que prestataire de DansMaRue;CHAMPERRET - BERTHIER;180277;"{""type"": ""Point"", ""coordinates"": [2.296380001104292, 48.88807379902394]}";48.888073799, 2.2963800011
Propreté;Malpropreté du sol:Mégots;42 rue pétion ,75011 PARIS;75011;Paris 11;11.0;2012-10-04T04:00:00+02:00;2012;10;138.0;S;DPE;LEON BLUM - FOLIE-REGNAULT;180279;"{""type"": ""Point"", ""coordinates"": [2.381198001137482, 48.85909700215346]}";48.8590970022, 2.38119800114
Voirie et déplacements;Chaussées:Affaissement, trou, bosse, pavé arraché;22 rue montbrun ,75014 PARIS;75014;Paris 14;14.0;2012-10-24T04:00:00+02:00;2012;10;523.0;S;DVD;MOUTON-DUVERNET;180288;"{""type"": ""Point"", ""coordinates"": [2.330210005970736, 48.82826199942482]}";48.8282619994, 2.33021000597
Objets abandonnés;Autre objet (hors catégories précédentes);68-70 rue vitruve ,75020 PARIS;75020;Paris 20;20.0;2012-10-30T02:00:00+01:00;2012;10;949.0;S;Ramen en tant que prestataire de DansMaRue;SAINT-BLAISE;180299;"{""type"": ""Point"", ""coordinates"": [2.4073770028139982, 48.85944000110755]}";48.8594400011, 2.40737700281
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;15 rue emilio castelar ,75012 PARIS;75012;Paris 12;12.0;2012-10-30T02:00:00+01:00;2012;10;1058.0;S;DEVE-SAB;ALIGRE - GARE DE LYON;180302;"{""type"": ""Point"", ""coordinates"": [2.376868002778204, 48.84888500322898]}";48.8488850032, 2.37686800278
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;2-8 rue charles baudelaire ,75012 PARIS;75012;Paris 12;12.0;2012-10-31T02:00:00+01:00;2012;10;1213.0;S;DPE;ALIGRE - GARE DE LYON;180304;"{""type"": ""Point"", ""coordinates"": [2.376226994140914, 48.84842700286038]}";48.8484270029, 2.37622699414
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;20 rue richard lenoir ,75011 PARIS;75011;Paris 11;11.0;2012-11-06T02:00:00+01:00;2012;11;292.0;S;graffitis;LEON BLUM - FOLIE-REGNAULT;180311;"{""type"": ""Point"", ""coordinates"": [2.382255006088295, 48.85506399486398]}";48.8550639949, 2.38225500609
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;176 boulevard voltaire ,75011 PARIS;75011;Paris 11;11.0;2012-11-06T02:00:00+01:00;2012;11;306.0;S;graffitis;LEON BLUM - FOLIE-REGNAULT;180312;"{""type"": ""Point"", ""coordinates"": [2.384415999391019, 48.8550339953873]}";48.8550339954, 2.38441599939
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;54 boulevard du temple ,75011 PARIS;75011;Paris 11;11.0;2012-11-09T02:00:00+01:00;2012;11;1252.0;S;graffitis;REPUBLIQUE - SAINT-AMBROISE;180332;"{""type"": ""Point"", ""coordinates"": [2.365378000915923, 48.86609000089444]}";48.8660900009, 2.36537800092
Propreté;Malpropreté du sol:Déchets divers épars;1 rue jean bologne ,75016 PARIS;75016;Paris 16;16.0;2012-11-09T02:00:00+01:00;2012;11;1338.0;S;DPE;MUETTE SUD;180335;"{""type"": ""Point"", ""coordinates"": [2.280053000671761, 48.85645000254149]}";48.8564500025, 2.28005300067
Objets abandonnés;Autre objet (hors catégories précédentes);29 rue des marronniers ,75016 PARIS;75016;Paris 16;16.0;2012-11-09T02:00:00+01:00;2012;11;1346.0;S;Ramen en tant que prestataire de DansMaRue;MUETTE SUD;180336;"{""type"": ""Point"", ""coordinates"": [2.275575005856436, 48.85517999895721]}";48.855179999, 2.27557500586
Objets abandonnés;Autre objet (hors catégories précédentes);36 rue des rondeaux ,75020 PARIS;75020;Paris 20;20.0;2012-11-12T02:00:00+01:00;2012;11;1410.0;S;Ramen en tant que prestataire de DansMaRue;GAMBETTA;180340;"{""type"": ""Point"", ""coordinates"": [2.398299999530109, 48.86261399564895]}";48.8626139956, 2.39829999953
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;17 rue de la fontaine au roi ,75011 PARIS;75011;Paris 11;11.0;2012-11-12T02:00:00+01:00;2012;11;1629.0;S;graffitis;REPUBLIQUE - SAINT-AMBROISE;180342;"{""type"": ""Point"", ""coordinates"": [2.370214996509777, 48.8685069972084]}";48.8685069972, 2.37021499651
Voirie et déplacements;Trottoirs:Affaissement, trou, bosse, pavé arraché;4 rue froment ,75011 PARIS;75011;Paris 11;11.0;2012-11-13T02:00:00+01:00;2012;11;1766.0;S;DVD;BASTILLE - POPINCOURT;180346;"{""type"": ""Point"", ""coordinates"": [2.3734600002698842, 48.856640001363445]}";48.8566400014, 2.37346000027
Objets abandonnés;Planches et palettes;20 boulevard richard lenoir ,75011 PARIS;75011;Paris 11;11.0;2012-11-13T02:00:00+01:00;2012;11;1745.0;S;Ramen en tant que prestataire de DansMaRue;BASTILLE - POPINCOURT;180350;"{""type"": ""Point"", ""coordinates"": [2.370529994297586, 48.85561399781142]}";48.8556139978, 2.3705299943
Objets abandonnés;Équipements électriques et électroniques;9 impasse molin ,75018 PARIS;75018;Paris 18;18.0;2012-11-15T02:00:00+01:00;2012;11;2221.0;S;Ramen en tant que prestataire de DansMaRue;LA CHAPELLE - MARX DORMOY;180362;"{""type"": ""Point"", ""coordinates"": [2.364703002632618, 48.89053299817359]}";48.8905329982, 2.36470300263
Objets abandonnés;Meubles et éléments de décoration;30 boulevard de ménilmontant ,75011 PARIS;75011;Paris 11;11.0;2012-11-15T02:00:00+01:00;2012;11;2278.0;S;Ramen en tant que prestataire de DansMaRue;LEON BLUM - FOLIE-REGNAULT;180365;"{""type"": ""Point"", ""coordinates"": [2.387289999544006, 48.86254999496046]}";48.862549995, 2.38728999954
Objets abandonnés;Objets entrant dans plusieurs catégories;14 rue jouye-rouve ,75020 PARIS;75020;Paris 20;20.0;2012-11-19T02:00:00+01:00;2012;11;2764.0;S;Ramen en tant que prestataire de DansMaRue;BELLEVILLE;180381;"{""type"": ""Point"", ""coordinates"": [2.382830995814667, 48.87263000173781]}";48.8726300017, 2.38283099581
Voirie et déplacements;Panneaux routiers:Panneau endommagé;2 rue nicolas houel ,75005 PARIS;75005;Paris 5;5.0;2012-11-25T02:00:00+01:00;2012;11;3996.0;S;DVD;JARDIN DES PLANTES;180411;"{""type"": ""Point"", ""coordinates"": [2.362288006835118, 48.842019994706625]}";48.8420199947, 2.36228800684
Voirie et déplacements;Panneaux routiers:Panneau endommagé;7-9 rue de mirbel ,75005 PARIS;75005;Paris 5;5.0;2012-11-26T02:00:00+01:00;2012;11;4141.0;S;DVD;JARDIN DES PLANTES;180415;"{""type"": ""Point"", ""coordinates"": [2.351395998446608, 48.84086000270248]}";48.8408600027, 2.35139599845
Objets abandonnés;Objets entrant dans plusieurs catégories;Rue de Tocqueville, 75017 PARIS;75017;Paris 17;17.0;2012-11-27T02:00:00+01:00;2012;11;4564.0;S;Ramen en tant que prestataire de DansMaRue;LEGENDRE - LEVIS;180432;"{""type"": ""Point"", ""coordinates"": [2.313500725731064, 48.88280850913521]}";48.8828085091, 2.31350072573
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;11 rue desprez ,75014 PARIS;75014;Paris 14;14.0;2012-10-31T02:00:00+01:00;2012;10;1146.0;S;graffitis;PERNETY;180434;"{""type"": ""Point"", ""coordinates"": [2.315770000318901, 48.83468600123758]}";48.8346860012, 2.31577000032
