TYPE;SOUSTYPE;ADRESSE;CODE_POSTAL;VILLE;ARRONDISSEMENT;DATEDECL;ANNEE DECLARATION;MOIS DECLARATION;NUMERO;PREFIXE;INTERVENANT;CONSEIL DE QUARTIER;OBJECTID;geo_shape;geo_point_2d
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;4 rue moreau ,75012 PARIS;75012;Paris 12;12.0;2012-10-30T02:00:00+01:00;2012;10;1027.0;S;graffitis;ALIGRE - GARE DE LYON;16779;"{""type"": ""Point"", ""coordinates"": [2.372332995521266, 48.849270000935455]}";48.8492700009, 2.37233299552
Propreté;Malpropreté du sol:Déchets divers épars;1-5 rue de l'adjudant réau ,75020 PARIS;75020;Paris 20;20.0;2012-10-31T02:00:00+01:00;2012;10;1198.0;S;DPE;GAMBETTA;16780;"{""type"": ""Point"", ""coordinates"": [2.405181993478154, 48.86730599742643]}";48.8673059974, 2.40518199348
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;12-28 rue michel-ange ,75016 PARIS;75016;Paris 16;16.0;2012-11-06T02:00:00+01:00;2012;11;326.0;S;graffitis;AUTEUIL SUD;16785;"{""type"": ""Point"", ""coordinates"": [2.262700003378427, 48.84622200126048]}";48.8462220013, 2.26270000338
Objets abandonnés;Objets entrant dans plusieurs catégories;54 rue d'avron ,75020 PARIS;75020;Paris 20;20.0;2012-11-06T02:00:00+01:00;2012;11;311.0;S;Ramen en tant que prestataire de DansMaRue;PLAINE;16787;"{""type"": ""Point"", ""coordinates"": [2.403140995804733, 48.851930002383234]}";48.8519300024, 2.4031409958
Propreté;Malpropreté du sol:Autre;9 rue de châtillon ,75014 PARIS;75014;Paris 14;14.0;2012-11-07T02:00:00+01:00;2012;11;556.0;S;DPE;JEAN MOULIN - PORTE D'ORLEANS;16793;"{""type"": ""Point"", ""coordinates"": [2.323203002964984, 48.82745399731981]}";48.8274539973, 2.32320300296
Propreté;Malpropreté du sol:Déjection, crotte de chien;66 avenue jean moulin ,75014 PARIS;75014;Paris 14;14.0;2012-11-07T02:00:00+01:00;2012;11;661.0;S;DPE;JEAN MOULIN - PORTE D'ORLEANS;16797;"{""type"": ""Point"", ""coordinates"": [2.320968995195228, 48.82512299650949]}";48.8251229965, 2.3209689952
Objets abandonnés;Planches et palettes;100 rue de la croix nivert ,75015 PARIS;75015;Paris 15;15.0;2012-11-08T02:00:00+01:00;2012;11;827.0;S;Ramen en tant que prestataire de DansMaRue;SAINT-LAMBERT;16800;"{""type"": ""Point"", ""coordinates"": [2.29541599383779, 48.84311700210388]}";48.8431170021, 2.29541599384
Propreté;Malpropreté du sol:Urine;125 avenue du général leclerc ,75014 PARIS;75014;Paris 14;14.0;2012-11-08T02:00:00+01:00;2012;11;933.0;S;DPE;JEAN MOULIN - PORTE D'ORLEANS;16802;"{""type"": ""Point"", ""coordinates"": [2.3256950011279223, 48.82364700079889]}";48.8236470008, 2.32569500113
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;43 rue beaunier ,75014 PARIS;75014;Paris 14;14.0;2012-11-09T02:00:00+01:00;2012;11;1138.0;S;DPE;JEAN MOULIN - PORTE D'ORLEANS;16808;"{""type"": ""Point"", ""coordinates"": [2.328006994163478, 48.82451599996534]}";48.824516, 2.32800699416
Objets abandonnés;Planches et palettes;57 rue de passy ,75016 PARIS;75016;Paris 16;16.0;2012-11-09T02:00:00+01:00;2012;11;1340.0;S;Ramen en tant que prestataire de DansMaRue;MUETTE NORD;16809;"{""type"": ""Point"", ""coordinates"": [2.279163998377562, 48.85796999744681]}";48.8579699974, 2.27916399838
Propreté;Malpropreté du sol:Déchets divers épars;2 rue stephenson ,75018 PARIS;75018;Paris 18;18.0;2012-11-12T02:00:00+01:00;2012;11;1430.0;S;DPE;GOUTTE D'OR - CHATEAU ROUGE;16812;"{""type"": ""Point"", ""coordinates"": [2.356755003517082, 48.88553599526887]}";48.8855359953, 2.35675500352
Propreté;Malpropreté du sol:Déchets divers épars;43 boulevard barbès ,75018 PARIS;75018;Paris 18;18.0;2012-11-12T02:00:00+01:00;2012;11;1466.0;S;DPE;GOUTTE D'OR - CHATEAU ROUGE;16815;"{""type"": ""Point"", ""coordinates"": [2.349335999024985, 48.8884199964274]}";48.8884199964, 2.34933599902
Objets abandonnés;Planches et palettes;19 rue irénée blanc ,75020 PARIS;75020;Paris 20;20.0;2012-11-12T02:00:00+01:00;2012;11;1600.0;S;Ramen en tant que prestataire de DansMaRue;GAMBETTA;16820;"{""type"": ""Point"", ""coordinates"": [2.407803003651923, 48.86583300012955]}";48.8658330001, 2.40780300365
Propreté;Malpropreté du sol:Déchets divers épars;5 rue du rhin ,75019 PARIS;75019;Paris 19;19.0;2012-11-13T02:00:00+01:00;2012;11;1833.0;S;DPE;MANIN - JAURES;16833;"{""type"": ""Point"", ""coordinates"": [2.381222996690597, 48.88488999814563]}";48.8848899981, 2.38122299669
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;24 quai de la marne ,75019 PARIS;75019;Paris 19;19.0;2012-11-14T02:00:00+01:00;2012;11;1929.0;S;DVD;BASSIN DE LA VILLETTE;16834;"{""type"": ""Point"", ""coordinates"": [2.385279997591029, 48.89098399509203]}";48.8909839951, 2.38527999759
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;11-13 rue de l'ourcq ,75019 PARIS;75019;Paris 19;19.0;2012-11-14T02:00:00+01:00;2012;11;1941.0;S;DVD;BASSIN DE LA VILLETTE;16835;"{""type"": ""Point"", ""coordinates"": [2.384799000384936, 48.88684499498594]}";48.886844995, 2.38479900038
Propreté;Malpropreté du sol:Déchets divers épars;9 rue de lunéville ,75019 PARIS;75019;Paris 19;19.0;2012-11-14T02:00:00+01:00;2012;11;2103.0;S;DPE;MANIN - JAURES;16839;"{""type"": ""Point"", ""coordinates"": [2.387549996612541, 48.88656599957217]}";48.8865659996, 2.38754999661
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;9 rue d'alésia ,75014 PARIS;75014;Paris 14;14.0;2012-11-14T02:00:00+01:00;2012;11;2039.0;S;DEVE-SAB;MONTSOURIS - DAREAU;16840;"{""type"": ""Point"", ""coordinates"": [2.337727997758015, 48.8269799957168]}";48.8269799957, 2.33772799776
Voirie et déplacements;Trottoirs:Revêtement manquant;100 avenue philippe-auguste ,75011 PARIS;75011;Paris 11;11.0;2012-11-15T02:00:00+01:00;2012;11;2256.0;S;DVD;LEON BLUM - FOLIE-REGNAULT;16845;"{""type"": ""Point"", ""coordinates"": [2.391441995653306, 48.85625499679072]}";48.8562549968, 2.39144199565
Propreté;Malpropreté du sol:Déchets divers épars;170 avenue jean jaurès ,75019 PARIS;75019;Paris 19;19.0;2012-11-14T02:00:00+01:00;2012;11;2096.0;S;DPE;MANIN - JAURES;16851;"{""type"": ""Point"", ""coordinates"": [2.388486999714066, 48.88757300336117]}";48.8875730034, 2.38848699971
Propreté;Malpropreté du sol:Déchets divers épars;12 boulevard de rochechouart ,75018 PARIS;75018;Paris 18;18.0;2012-11-16T02:00:00+01:00;2012;11;2448.0;S;DPE;GOUTTE D'OR - CHATEAU ROUGE;16854;"{""type"": ""Point"", ""coordinates"": [2.348780994612019, 48.88376000072475]}";48.8837600007, 2.34878099461
Graffitis, tags, affiches et autocollants;Affiches ou autocollants sur immeuble, mur ou commerce;1 passage de abbesses ,75018 PARIS;75018;Paris 18;18.0;2012-11-16T02:00:00+01:00;2012;11;2493.0;S;DPE;MONTMARTRE;16855;"{""type"": ""Point"", ""coordinates"": [2.33787299428819, 48.884692997465635]}";48.8846929975, 2.33787299429
Objets abandonnés;Autre objet (hors catégories précédentes);11 rue de sèvres, 75006 PARIS;75006;Paris 6;6.0;2012-10-05T04:00:00+02:00;2012;10;208.0;S;Ramen en tant que prestataire de DansMaRue;RENNES;16863;"{""type"": ""Point"", ""coordinates"": [2.328349994949835, 48.85169659586751]}";48.8516965959, 2.32834999495
Propreté;Malpropreté du sol:Déchets divers épars;55 rue de charenton ,75012 PARIS;75012;Paris 12;12.0;2012-11-19T02:00:00+01:00;2012;11;2797.0;S;DPE;ALIGRE - GARE DE LYON;16864;"{""type"": ""Point"", ""coordinates"": [2.372969998145697, 48.850776998920395]}";48.8507769989, 2.37296999815
Propreté;Malpropreté du sol:Déchets divers épars;35 rue doudeauville ,75018 PARIS;75018;Paris 18;18.0;2012-11-20T02:00:00+01:00;2012;11;2886.0;S;DPE;GOUTTE D'OR - CHATEAU ROUGE;16865;"{""type"": ""Point"", ""coordinates"": [2.350202003451308, 48.88812599721427]}";48.8881259972, 2.35020200345
Propreté;Malpropreté du sol:Autre;7 rue aux ours ,75003 PARIS;75003;Paris 3;3.0;2012-11-20T02:00:00+01:00;2012;11;2849.0;S;DPE;RAMBUTEAU - FRANCS-BOURGEOIS;16866;"{""type"": ""Point"", ""coordinates"": [2.351946994412629, 48.86303299681303]}";48.8630329968, 2.35194699441
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Autres mobiliers:Banc;65 rue de turbigo ,75003 PARIS;75003;Paris 3;3.0;2012-11-20T02:00:00+01:00;2012;11;2984.0;S;DVD;REAUMUR;16867;"{""type"": ""Point"", ""coordinates"": [2.357976005741308, 48.86609600306688]}";48.8660960031, 2.35797600574
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;17 rue mathis ,75019 PARIS;75019;Paris 19;19.0;2012-11-20T02:00:00+01:00;2012;11;2995.0;S;DVD;FLANDRE - AUBERVILLIERS;16868;"{""type"": ""Point"", ""coordinates"": [2.373175003631263, 48.89106800142446]}";48.8910680014, 2.37317500363
Propreté;Malpropreté du sol:Déchets divers épars;14 rue de châteaudun ,75009 PARIS;75009;Paris 9;9.0;2012-11-15T02:00:00+01:00;2012;11;2304.0;S;DPE;LA FAYETTE - RICHER;16869;"{""type"": ""Point"", ""coordinates"": [2.341327004234759, 48.875640000218546]}";48.8756400002, 2.34132700423
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;5 rue du bourg l'abbé ,75003 PARIS;75003;Paris 3;3.0;2012-11-22T02:00:00+01:00;2012;11;3398.0;S;Ramen en tant que prestataire de DansMaRue;REAUMUR;16879;"{""type"": ""Point"", ""coordinates"": [2.352147005818704, 48.8639369956993]}";48.8639369957, 2.35214700582
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;12 rue rouvet ,75019 PARIS;75019;Paris 19;19.0;2012-11-22T02:00:00+01:00;2012;11;3626.0;S;DVD;PONT DE FLANDRE;16885;"{""type"": ""Point"", ""coordinates"": [2.383455999850983, 48.89413999564138]}";48.8941399956, 2.38345599985
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;7-11 avenue rené boylesve ,75016 PARIS;75016;Paris 16;16.0;2012-11-23T02:00:00+01:00;2012;11;3845.0;S;graffitis;MUETTE SUD;16894;"{""type"": ""Point"", ""coordinates"": [2.284007995905972, 48.85637299556167]}";48.8563729956, 2.28400799591
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;24 rue du four ,75006 PARIS;75006;Paris 6;6.0;2012-11-24T02:00:00+01:00;2012;11;3900.0;S;DPE;RENNES;16896;"{""type"": ""Point"", ""coordinates"": [2.331430000485608, 48.85236399976626]}";48.8523639998, 2.33143000049
